"aab-aalborg","AaB"
"audax-italiano","Audax Italiano La Florida"
"augsburg","Augsburg"
"aurora","Aurora"
"austria-karnten","Austria Kärnten"
"austria-wien","Austria Wien"
"auxerre","Auxerre"
"avai-fc","Avaí FC"
"avenir-de-la-marsa","Avenir de La Marsa"
"avion-fc-du-nkam","Avion Fc Du Nkam"
"avispa-fukuoka","Avispa Fukuoka"
"ayacucho-fc","Ayacucho FC"
"ayia-napa","Ayia Napa"
"az-alkmaar","AZ Alkmaar"
"azal-pfc-baku","AZAL PFC Baku"
"azam","Azam"
"ba","Ba"
"babeti-ya-sika","Babeti ya Sika"
"bahia","Bahia"
"bakaridjan-de-baroueli","Bakaridjan de Barouéli"
"baki","Bakı"
"bala-town","Bala Town FC"
"bali-united-pusam","Bali United"
"balikesirspor","Balıkesirspor"
"ballinamallard-united","Ballinamallard United"
"ballymena-united","Ballymena United"
"balmazujvaros","Balmazújváros"
"bamboutos","Bamboutos"
"banfield","Banfield"
"banga-gargzdai","Banga Gargzdai"
"bangkok-glass","BG Pathum United"
"bangkok-united","Bangkok United"
"bangor-city","Bangor City"
"banik-ostrava","Baník Ostrava"
"baniyas-club","Baniyas"
"bantous","Bantous"
"bantu-rovers","Bantu Rovers"
"barbican-fc","Barbican FC"
"barcelona-sc-guayaquil","Barcelona SC"
"bari","Bari"
"barito-putera","Barito Putera"
"barnechea","Barnechea"
"baroka-fc","Baroka FC"
"barrio-mexico","Barrio México"
"barry-town","Barry Town United FC"
"basel","FC Basel"
"bassam","Usc Bassam"
"bate-borisov","BATE Borisov"
"bayamon-fc","Bayamón FC"
"bayelsa-united","Bayelsa United"
"bayer-leverkusen","Bayer Leverkusen"
"bayern-munchen","Bayern München"
"bbcu-fc","BBCU FC"
"bec-tero-sasana","Police Tero FC"
"becamex-binh-duong","Binh Duong"
"bechem-united","Bechem United"
"beijing-guoan","Beijing Guoan"
"beira-mar","Beira-Mar"
"beitar-jerusalem","Beitar Jerusalem FC"
"bekescsaba","Bekescsaba"
"belchatow","Bełchatów"
"belen-siglo-xxi","Belén Siglo XXI"
"belenenses","Belenenses"
"belgrano","Belgrano"
"bella-vista","Bella Vista"
"bellinzona","Bellinzona"
"belshina-bobruisk","Belshina Bobruisk"
"ben-guerdane","Ben Guerdane"
"bendel-insurance","Bendel Insurance"
"benevento","Benevento"
"benfica","Benfica"
"benfica-luanda","Benfica Luanda"
"benfica-lubango","Sport Lubango e Benfica"
"bengaluru-fc","Bengaluru FC"
"beni-khalled","Béni-Khalled"
"berane","Berane"
"berekum-arsenal","Berekum Arsenal"
"berekum-chelsea","Berekum Chelsea FC"
"beroe","Beroe"
"besiktas","Beşiktaş"
"bfc-daugava","BFC Daugavpils"
"bhayangkara-surabaya-united","Bhayangkara FC"
"bidvest-wits","Bidvest Wits"
"binacional-peru","Deportivo Binacional"
"birmingham-city","Birmingham City"
"bk-hacken","BK Häcken"
"black-leopards","Black Leopards"
"black-mambas","Black Mambas"
"black-rhinos","Black Rhinos"
"blackburn-rovers","Blackburn Rovers F.C."
"blackpool","Blackpool"
"blessing-fc-kolwezi","Blessing FC"
"bloemfontein-celtic","Bloemfontein Celtic"
"blooming","Blooming"
"bnei-sachnin","Bnei Sakhnin"
"bnei-yehuda-tel-aviv","Bnei Yehuda Tel Aviv FC"
"boavista","Boavista"
"boca-juniors","Boca Juniors"
"bochum","Bochum"
"bodo-glimt","Bodø / Glimt"
"bohemian-fc","Bohemian FC"
"bohemians-1905","Bohemians 1905"
"bolivar","Bolívar"
"bologna","Bologna"
"bolognesi","Bolognesi"
"bolton-wanderers","Bolton Wanderers"
"bontang-pkt","Bontang PKT"
"borac-banja-luka","Borac Banja Luka"
"borac-cacak","Borac Čačak"
"bordeaux","Bordeaux"
"borussia-dortmund","Borussia Dortmund"
"borussia-monchengladbach","Borussia Mönchengladbach"
"boston-river","Boston River"
"botafogo-fc-de-douala","Botafogo FC"
"botafogo-rj","Botafogo RJ"
"botev-plovdiv","Botev Plovdiv"
"botev-vratsa","Botev Vratsa"
"botosani","Botoşani"
"bouake-fc","Bouaké FC"
"boulogne","Boulogne"
"boyaca-chico-fc","Boyacá Chicó FC"
"boys-town-fc","Boys' Town"
"braga","Braga"
"brann","SK Brann"
"brasilia","Brasilia"
"brasov","Braşov"
"bray-wanderers","Bray Wanderers"
"brescia","Brescia"
"brest","Brest"
"brighton-hove-albion","Brighton & Hove Albion"
"brisbane-roar-fc","Brisbane Roar FC"
"brommapojkarna","Brommapojkarna"
"brondby","Brøndby"
"brong-ahafo-stars","Brong Ahafo Stars"
"brujas","Brujas"
"bsk-borca","BSK Borča"
"bucaspor","Bucaspor"
"budafoki-mte","Budafoki MTE"
"buducnost-podgorica","Budućnost"
"buffaloes-fc","Buffaloes FC"
"buildcon-ndola","Buildcon"
"bukavu-dawa","Bukavu Dawa"
"bukola-babes","Bukola Babes"
"bunyodkor-tashkent","Bunyodkor Tashkent"
